2025-11-11 15:52:55, MOVE, v:1, k:poo@pula-pula, mode:DOWN
2025-11-11 15:59:12, MOVE, v:1, k:poo@pula-pula, mode:PICK
2025-11-11 15:59:15, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:7
2025-11-11 15:59:16, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0
2025-11-11 16:08:12, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:30
2025-11-11 16:12:46, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:39
2025-11-11 16:13:21, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:41
2025-11-11 16:14:49, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:41
2025-11-11 16:16:45, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:43
2025-11-11 16:22:30, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:43
2025-11-11 16:22:53, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:43
2025-11-11 16:23:18, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:43
2025-11-11 16:24:03, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:43
2025-11-11 16:24:19, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:10, size:43
2025-11-11 16:35:49, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:20, size:43
2025-11-11 16:43:39, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:10, size:47
2025-11-11 16:48:59, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:46
2025-11-11 16:49:18, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:0, size:46
2025-11-11 16:49:36, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:20, size:46
2025-11-11 16:50:49, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:20, size:49
2025-11-11 16:52:08, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:20, size:49
2025-11-11 16:53:29, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:40, size:52
2025-11-11 17:00:16, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:40, size:51
2025-11-11 17:08:35, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:40, size:49
2025-11-11 17:09:35, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:50, size:49
2025-11-11 17:13:58, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:50, size:53
2025-11-11 17:14:51, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:60, size:57
2025-11-11 17:15:20, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:60, size:55
2025-11-11 17:20:49, EXEC, v:1, k:poo@pula-pula, mode:FULL, rate:60, size:57
